found_location,n,lat,lon,status
15208 Fm 969 in Austin (TX),14,30.2843172,-97.6575518,ok
1102 S Congress Ave in Austin (TX),14,30.2544559,-97.7502362,ok
1401 E Rundberg in Austin (TX),14,30.3635859,-97.6978545,ok
6600 Elm Creek in Austin (TX),14,30.187324,-97.7636993,ok
11441 N Ih 35 in Austin (TX),14,,,no_result
1700 Burton Dr in Austin (TX),14,30.2377977,-97.7279519,ok
11411 Research Blvd in Austin (TX),14,30.410988,-97.744709,ok
900 Barton Springs Rd in Austin (TX),14,30.2606044,-97.7528317,ok
900 Barton Springs in Austin (TX),14,30.2606044,-97.7528317,ok
5400 W Parmer Ln in Austin (TX),14,30.4365825,-97.733487,ok
1030 Norwood Park Blvd in Austin (TX),14,30.339196,-97.6896354,ok
2421 Chateau Village Way in Austin (TX),14,30.1719615,-97.7659717,ok
2508 E Riverside Dr in Austin (TX),14,30.2365912,-97.7221483,ok
4502 Gillis St in Austin (TX),14,30.2239655,-97.7840354,ok
45Th And Mopac in Austin (TX),14,,,no_result
3116 River Rd in Travis (TX),14,30.204682,-97.5067882,ok
700 South 1St in Austin (TX),14,30.2558085,-97.752286,ok
5409 Ponciana Dr in Austin (TX),14,30.1966256,-97.7553506,ok
2504 New York in Austin (TX),14,30.2737045,-97.7137121,ok
16672 Round Mountain in Travis (TX),14,30.604965,-97.935637,ok
9807 Hansford Drive in Austin (TX),14,30.3607855,-97.6801458,ok
Manchaca And Slaughter in Austin (TX),13,,,no_result
1601 Montopolis Dr in Austin (TX),13,30.227718,-97.701167,ok
5106 Village Square in Austin (TX),13,30.1890499,-97.7434164,ok
401 Little Texas Lane in Austin (TX),13,30.200678,-97.7724825,ok
3811 E 12Th St in Austin (TX),13,30.2768,-97.6902958,ok
7601 Dixie Dr in Austin (TX),13,30.1649072,-97.7432817,ok
2201 Barton Springs Rd in Austin (TX),13,30.265894,-97.769234,ok
6200 Loyola Ln in Austin (TX),13,30.3024715,-97.6508552,ok
2100 Barton Springs Road in Austin (TX),13,30.2679178,-97.7682227,ok
4106 N. Lamar in Austin (TX),13,30.309476,-97.740685,ok
12001 Metric Blvd in Austin (TX),13,30.401381,-97.7017954,ok
